@relation out2

@attribute NomSociete {Accytime,'Adria Business & Technology',Altados,'ALTEN Maroc','Alter Ipso',Aria,'ARIA Tech',Atos,'Atos ','Attijariwafa bank','AXA Group Operations Maroc','AXA Rabat (Axa Services)','BMCI Groupe BNP Paribas',Capgemini,'CGI Technologies et Solutions Maroc',Cnexia,'Deloitte Nearshore',DEVINK,DigitalentRH,'DXC Technology Maroc','Eca Assurances','Econocom Maroc','EnerGetic Link',Eumatech,'Excel Management Conseil','Groupe Adaming','Groupe Label Vie','Hit Radio','HPS Maroc',Intelcia,'Intelcia ITS',Intelcom,'INTM Mediterranée',Involys,'La Marocaine vie','LCI Education','Leet initiative',Leyton,'Lydec et SUEZ',Majorel,'Manpower Agences','Maroc Climate and Security (MCS) - Carrier','Meski Invest - Riva Industries',Neosys,OBS,'Oceane Consulting',Omnishore,Opus.RH,'ORH Assessment','Perenity Software',Preci,ReKrute,Richbond,'Sitel Group','Société Générale Maroc','Sofrecom Services Maroc','SQLI Maroc',TeamDEV,'TNC  The Next Clic ',Umanis,'Utac Ceram Maroc','Webhelp Maroc',Welink}
@attribute Python {false,true}
@attribute Java {false,true}
@attribute Html {false,true}
@attribute Css {false,true}
@attribute Js {false,true}
@attribute Sql {false,true}
@attribute Laravel {false,true}

@data
Accytime,false,false,false,false,false,false,false
'Adria Business & Technology',false,false,false,false,false,false,false
'Adria Business & Technology',false,true,false,false,true,false,false
Altados,true,true,false,false,true,false,false
Altados,false,false,false,false,false,false,false
Altados,false,true,false,false,false,false,false
Altados,false,true,false,false,false,false,false
Altados,false,false,false,false,false,true,false
Altados,false,true,false,false,false,false,false
Altados,false,false,false,false,false,false,false
Altados,false,false,false,false,false,true,false
Altados,false,false,false,false,false,true,false
Altados,false,true,true,false,false,true,false
Altados,false,false,false,false,false,false,false
Altados,false,false,false,false,false,false,false
Altados,false,false,false,false,false,false,false
Altados,false,false,false,false,false,true,false
Altados,false,false,false,false,false,false,false
Altados,false,false,false,false,false,false,false
Altados,false,false,false,false,false,true,false
Altados,false,false,false,false,false,false,false
Altados,false,false,false,false,false,true,false
Altados,false,false,false,false,false,false,false
Altados,false,false,false,false,false,false,false
Altados,false,true,false,false,false,true,false
Altados,false,true,false,false,false,false,false
Altados,false,true,true,false,false,true,false
Altados,false,false,false,false,false,false,false
Altados,false,false,false,false,false,false,false
Altados,false,false,false,false,false,true,false
Altados,false,true,true,true,true,true,false
Altados,false,true,true,false,true,true,false
Altados,false,true,false,false,true,true,false
Altados,false,false,false,false,false,true,false
Altados,false,true,false,false,false,true,false
Altados,true,true,true,false,true,false,false
Altados,false,true,false,false,false,true,false
Altados,false,true,true,false,false,true,false
Altados,false,true,false,false,false,true,false
Altados,false,false,false,false,false,true,false
Altados,true,false,false,false,false,true,false
Altados,false,true,false,false,false,false,false
Altados,false,false,false,false,false,false,false
Altados,false,false,false,false,false,false,false
Altados,false,false,false,false,false,false,false
'ALTEN Maroc',false,false,false,false,false,false,false
'ALTEN Maroc',false,false,false,false,false,false,false
'ALTEN Maroc',false,false,false,false,false,false,false
'ALTEN Maroc',false,false,false,false,false,false,false
'ALTEN Maroc',false,false,false,false,false,false,false
'ALTEN Maroc',false,true,true,true,true,true,false
'ALTEN Maroc',true,true,false,false,false,false,false
'ALTEN Maroc',false,false,false,false,false,false,false
'ALTEN Maroc',false,false,false,false,false,false,false
'ALTEN Maroc',true,false,false,false,false,false,false
'ALTEN Maroc',false,true,true,true,true,false,false
'ALTEN Maroc',false,false,false,false,false,false,false
'ALTEN Maroc',false,false,false,false,false,false,false
'ALTEN Maroc',false,false,false,false,false,false,false
'ALTEN Maroc',false,true,true,true,true,true,false
'ALTEN Maroc',false,false,false,false,false,false,false
'ALTEN Maroc',false,false,false,false,false,false,false
'ALTEN Maroc',false,false,false,false,false,false,false
'ALTEN Maroc',true,false,false,false,false,false,false
'ALTEN Maroc',false,false,false,false,false,false,false
'Alter Ipso',false,true,true,true,true,true,false
Aria,false,true,true,true,true,true,false
Aria,false,false,false,false,false,false,false
Aria,false,false,false,false,false,false,false
Aria,false,false,false,false,false,false,false
'ARIA Tech',false,true,false,true,false,false,false
'ARIA Tech',false,true,true,true,false,false,false
'ARIA Tech',false,true,true,true,false,false,false
'ARIA Tech',false,true,true,true,false,false,false
'ARIA Tech',true,true,false,false,true,false,false
Atos,false,false,false,false,false,false,false
Atos,false,false,false,false,false,false,false
Atos,false,true,false,false,false,false,false
Atos,false,false,false,false,false,false,false
Atos,false,false,false,false,false,false,false
Atos,false,false,false,false,false,false,false
Atos,false,false,false,false,false,false,false
Atos,false,false,false,false,false,false,false
Atos,false,false,false,false,false,false,false
Atos,false,false,false,false,false,false,false
Atos,false,true,false,false,false,false,false
Atos,false,false,false,false,false,false,false
Atos,false,false,false,false,false,false,false
Atos,false,false,false,false,false,false,false
Atos,false,false,false,false,false,false,false
'Atos ',false,false,false,false,false,false,false
'Atos ',false,true,false,false,false,true,false
Atos,false,false,false,false,false,false,false
Atos,false,false,false,false,false,false,false
Atos,false,true,false,false,false,false,false
Atos,false,true,false,false,false,false,false
'Attijariwafa bank',false,false,false,false,false,false,false
'Attijariwafa bank',false,false,false,false,false,false,false
'Attijariwafa bank',false,false,false,false,false,false,false
'Attijariwafa bank',false,false,false,false,false,false,false
'Attijariwafa bank',false,false,false,false,false,false,false
'Attijariwafa bank',false,false,false,false,false,false,false
'Attijariwafa bank',false,true,false,false,false,false,false
'Attijariwafa bank',false,false,false,false,false,false,false
'Attijariwafa bank',false,false,false,false,false,false,false
'Attijariwafa bank',false,false,false,false,false,false,false
'Attijariwafa bank',false,false,false,false,false,false,false
'Attijariwafa bank',false,false,false,false,false,false,false
'Attijariwafa bank',false,false,false,false,false,false,false
'Attijariwafa bank',false,false,false,false,false,false,false
'Attijariwafa bank',false,false,false,false,false,false,false
'Attijariwafa bank',false,false,false,false,false,false,false
'AXA Group Operations Maroc',false,false,false,false,false,false,false
'AXA Group Operations Maroc',false,false,false,false,false,false,false
'AXA Group Operations Maroc',false,false,false,false,false,false,false
'AXA Group Operations Maroc',false,false,false,false,false,false,false
'AXA Rabat (Axa Services)',false,false,false,false,false,false,false
'AXA Rabat (Axa Services)',false,false,false,false,false,false,false
'BMCI Groupe BNP Paribas',false,false,false,false,false,false,false
