Python,Java,Html,Css,Js,Sql,Laravel,NomSociete
false,true,false,false,false,false,false,Altados
false,false,false,false,false,true,false,Altados
false,false,false,false,false,true,false,Altados
false,true,true,false,false,true,false,Altados
false,false,false,false,false,false,false,Altados
false,true,true,true,false,true,false,ALTEN Maroc
true,true,false,false,false,false,false,ALTEN Maroc
false,false,false,false,false,false,false,ALTEN Maroc
false,false,false,false,false,false,false,ALTEN Maroc
true,false,false,false,false,false,false,ALTEN Maroc
false,true,false,true,false,false,false,ARIA Tech
false,false,false,false,false,false,false,Deloitte Nearshore
false,false,false,false,false,false,false,Deloitte Nearshore
false,false,false,false,false,false,false,DEVINK
false,false,false,false,false,true,false,DXC Technology Maroc
false,false,false,false,false,false,false,DXC Technology Maroc
false,false,false,false,false,false,false,DXC Technology Maroc
false,false,false,false,false,false,false,EnerGetic Link
false,true,false,false,false,false,false,Eumatech
false,true,false,true,false,true,false,Involys
false,false,false,false,false,false,false,Involys
false,false,false,false,false,true,false,Involys
false,false,false,false,false,false,false,Neosys
false,false,false,false,false,true,false,Neosys
false,false,false,false,false,false,false,Sitel Group
false,true,false,false,false,true,false,Sofrecom Services Maroc
false,false,false,false,false,false,false,Sofrecom Services Maroc
false,true,false,false,false,true,false,Sofrecom Services Maroc
false,true,true,true,false,true,false,SQLI Maroc
false,true,true,true,false,true,false,SQLI Maroc
false,true,true,true,false,true,false,SQLI Maroc
false,true,true,true,false,true,false,SQLI Maroc
false,false,true,true,false,true,false,SQLI Maroc
false,true,true,true,false,true,false,SQLI Maroc
false,false,false,false,false,true,false,TeamDEV
false,false,false,false,false,false,false,TNC  The Next Clic 
false,false,false,false,false,false,false,Webhelp Maroc
